"tag.x","tree_id.x","stand_id.x","plot.x","stand_idplot.x","species.x","year.x","year_count.x","tree_status.x","dbh.x","AreaCookie.x","size_cat.x","tree_id.y","stand_id.y","plot.y","stand_idplot.y","tag.y","species.y","year.y","year_count.y","tree_status.y","dbh.y","AreaCookie.y","size_cat.y","Stand","Subplot..e.g...25.25..","Camera.number","Lat","Long","Notes","geometry"
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400015","TO04",14,"TO0414",4697,"TSHE",2012,35,"6","15,3","183,8538561","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400016","TO04",14,"TO0414",4698,"TSHE",1983,6,"6","29,9","702,1538121","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400017","TO04",14,"TO0414",4699,"ABAM",1993,16,"6","11,5","103,8689071","small","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400024","TO04",14,"TO0414",3636,"TSHE",2012,35,"1","19","283,528737","regular","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400029","TO04",14,"TO0414",2500,"TSHE",2012,35,"1","9,7","73,89811319","small","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3636,"TO04001400024","TO04",14,"TO0414","TSHE",2012,35,"1","19","283,528737","regular","TO04001400039","TO04",14,"TO0414",2764,"TSHE",2012,35,"1","12,8","128,6796351","small","TO04","25,25",1,"46,7401","121,8885",NA,c(28.04, 16.45)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000500028","TO04",5,"TO045",2232,"ABAM",2017,40,"2","16,3","208,672438","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700003","TO04",7,"TO047",4604,"TSHE",1981,4,"6","67,9","3621,007547","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700011","TO04",7,"TO047",4613,"ABAM",2008,31,"6","35,2","973,1397404","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700029","TO04",7,"TO047",3649,"TSHE",2008,31,"6","11,7","107,5131546","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700030","TO04",7,"TO047",3650,"ABAM",2008,31,"6","6,7","35,25652355","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700031","TO04",7,"TO047",3651,"ABAM",2008,31,"6","10,5","86,59014751","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700032","TO04",7,"TO047",3652,"ABAM",2012,35,"1","17,7","246,0573906","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700034","TO04",7,"TO047",41,"TSHE",1998,21,"2","5,1","20,42820623","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700037","TO04",7,"TO047",347,"ABAM",2012,35,"1","8,4","55,41769441","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700038","TO04",7,"TO047",3653,"TSHE",2008,31,"6","13","132,7322896","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700039","TO04",7,"TO047",3654,"ABAM",2012,35,"1","14,5","165,1299639","regular","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700040","TO04",7,"TO047",3655,"TSHE",2008,31,"6","8","50,26548246","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700041","TO04",7,"TO047",3656,"TSHE",2008,31,"6","6,7","35,25652355","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3652,"TO04000700032","TO04",7,"TO047","ABAM",2012,35,"1","17,7","246,0573906","regular","TO04000700042","TO04",7,"TO047",3657,"TSHE",2012,35,"1","12,5","122,718463","small","TO04","75,75",7,"46,74078","121,88769",NA,c(78.15, 94.39)
3802,"AV06000100028","AV06",1,"AV061","ABAM",2012,35,"1","21,3","356,3272928","regular","AV06000100003","AV06",1,"AV061",5252,"ABAM",2012,35,"1","29,4","678,8667565","regular","AV06","25,75",18,"46,77658","121,78401",NA,c(15.94, 96.1)
3802,"AV06000100028","AV06",1,"AV061","ABAM",2012,35,"1","21,3","356,3272928","regular","AV06000100004","AV06",1,"AV061",5253,"TSHE",2012,35,"1","21,5","363,050301","regular","AV06","25,75",18,"46,77658","121,78401",NA,c(15.94, 96.1)
3802,"AV06000100028","AV06",1,"AV061","ABAM",2012,35,"1","21,3","356,3272928","regular","AV06000100005","AV06",1,"AV061",5254,"TSHE",1988,11,"6","105,4","8725,113861","regular","AV06","25,75",18,"46,77658","121,78401",NA,c(15.94, 96.1)
3802,"AV06000100028","AV06",1,"AV061","ABAM",2012,35,"1","21,3","356,3272928","regular","AV06000100028","AV06",1,"AV061",3802,"ABAM",2012,35,"1","21,3","356,3272928","regular","AV06","25,75",18,"46,77658","121,78401",NA,c(15.94, 96.1)
3802,"AV06000100028","AV06",1,"AV061","ABAM",2012,35,"1","21,3","356,3272928","regular","AV06000100034","AV06",1,"AV061",1965,"ABAM",2017,40,"1","23,1","419,096314","regular","AV06","25,75",18,"46,77658","121,78401",NA,c(15.94, 96.1)
3802,"AV06000100028","AV06",1,"AV061","ABAM",2012,35,"1","21,3","356,3272928","regular","AV06000100045","AV06",1,"AV061",757,"ABAM",2017,40,"2","17,7","246,0573906","regular","AV06","25,75",18,"46,77658","121,78401",NA,c(15.94, 96.1)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100020","AV06",11,"AV0611",5643,"ABAM",2012,35,"1","17,9","251,6494255","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100021","AV06",11,"AV0611",5644,"ABAM",2012,35,"1","10,1","80,11846665","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100022","AV06",11,"AV0611",5645,"ABAM",2012,35,"1","13,6","145,2672443","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100029","AV06",11,"AV0611",5652,"TSHE",2012,35,"1","9,7","73,89811319","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100030","AV06",11,"AV0611",5653,"ABAM",2012,35,"1","12","113,0973355","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100031","AV06",11,"AV0611",5654,"ABAM",2012,35,"1","10,4","84,94866535","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100032","AV06",11,"AV0611",5655,"ABAM",2012,35,"1","10","78,53981634","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100033","AV06",11,"AV0611",5656,"TSHE",2012,35,"1","13,2","136,847776","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100034","AV06",11,"AV0611",5657,"TSHE",2012,35,"1","22","380,1327111","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100045","AV06",11,"AV0611",5668,"ABAM",2012,35,"1","36,9","1069,405993","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100046","AV06",11,"AV0611",5669,"ABAM",2012,35,"1","38,6","1170,211848","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100060","AV06",11,"AV0611",422,"TSHE",2012,35,"1","8,3","54,10607948","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100061","AV06",11,"AV0611",423,"ABAM",2012,35,"1","9,4","69,39778172","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100073","AV06",11,"AV0611",3839,"ABAM",2012,35,"1","8","50,26548246","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100074","AV06",11,"AV0611",3840,"TSHE",2012,35,"1","9,2","66,47610055","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001100095","AV06",11,"AV0611",1980,"TSHE",2017,40,"1","5,3","22,06183441","small","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001300010","AV06",13,"AV0613",5714,"ABAM",2012,35,"1","27,3","585,3493972","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001300028","AV06",13,"AV0613",426,"ABAM",2012,35,"1","22,5","397,6078202","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3839,"AV06001100073","AV06",11,"AV0611","ABAM",2012,35,"1","8","50,26548246","small","AV06001300031","AV06",13,"AV0613",6100,"ABAM",2012,35,"1","17,1","229,658277","regular","AV06","75,25",12,"46,77592","121,78419",NA,c(53.94, 36.81)
3845,"AV06001000029","AV06",10,"AV0610","ABAM",2012,35,"1","20,3","323,6547292","regular","AV06001000005","AV06",10,"AV0610",5603,"PSME",2012,35,"1","137,8","14913,80006","regular","AV06","75,25",11,"46,77564","121,78418",NA,c(88.29, 13.31)
3845,"AV06001000029","AV06",10,"AV0610","ABAM",2012,35,"1","20,3","323,6547292","regular","AV06001000007","AV06",10,"AV0610",5605,"TSHE",2012,35,"1","25,9","526,852942","regular","AV06","75,25",11,"46,77564","121,78418",NA,c(88.29, 13.31)
3845,"AV06001000029","AV06",10,"AV0610","ABAM",2012,35,"1","20,3","323,6547292","regular","AV06001000026","AV06",10,"AV0610",5885,"ABAM",1998,21,"6","67","3525,652355","regular","AV06","75,25",11,"46,77564","121,78418",NA,c(88.29, 13.31)
3845,"AV06001000029","AV06",10,"AV0610","ABAM",2012,35,"1","20,3","323,6547292","regular","AV06001000029","AV06",10,"AV0610",3845,"ABAM",2012,35,"1","20,3","323,6547292","regular","AV06","75,25",11,"46,77564","121,78418",NA,c(88.29, 13.31)
4393,"TO04000200006","TO04",2,"TO042","ABAM",2012,35,"1","32,4","824,479576","regular","TO04000200003","TO04",2,"TO042",4390,"TSHE",2012,35,"1","20,7","336,535259","regular","TO04","25,75",5,"46,74098","121,88853",NA,c(8.69, 69.37)
4393,"TO04000200006","TO04",2,"TO042","ABAM",2012,35,"1","32,4","824,479576","regular","TO04000200004","TO04",2,"TO042",4391,"TSHE",2008,31,"6","21,5","363,050301","regular","TO04","25,75",5,"46,74098","121,88853",NA,c(8.69, 69.37)
4393,"TO04000200006","TO04",2,"TO042","ABAM",2012,35,"1","32,4","824,479576","regular","TO04000200005","TO04",2,"TO042",4392,"TSHE",2012,35,"1","42,6","1425,309171","regular","TO04","25,75",5,"46,74098","121,88853",NA,c(8.69, 69.37)
4393,"TO04000200006","TO04",2,"TO042","ABAM",2012,35,"1","32,4","824,479576","regular","TO04000200006","TO04",2,"TO042",4393,"ABAM",2012,35,"1","32,4","824,479576","regular","TO04","25,75",5,"46,74098","121,88853",NA,c(8.69, 69.37)
